ID,Tau,City,Town,Village,Q01,Q02,Q03,Q04,Q05,Q06,Q07,A1,A1A,A1B,A1C,A2,A3,A4,A4A,B1,B1A_1,B1A_2,B1A_3,B1A_4,B1A_5,B1A_6,B1A_7,B1A_8,B2,B3,B3A,B3B_1,B3B_2,B3B_3,B3B_4,B3B_5,B3B_6,B3B_7,B3B_8,B3B_9,B3B_10,B3B_11,B4,B5,B5A,B5B,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B6_10,B6_11,B6_12,B6_13,B6_14,B7,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,F1,F2,F3,F4,F5,G1,G2,G3,H1,H1A,H1B,H1C,H1D,H1E,H2,H2A,H2B,H3,H4,H5,H5A,H6,H7,H8,H8A,H9,H9A,J1,J2,J3,J3A,J4,J4A,J5A,J5B,J6A,J6B,J6C,J6D,K1,K1A,K1B,K1C,K1D,K2,K2A,K2B,K2C,K2D,K3,K3A,K3B,K3C,K3D,K4,K4A,K4B,K4C,K4D,K5,K6,K7,K7A,K7B,K7C,K7D,M1,M2,M3,M4,M4A,M5,M5A,M6,M7,N1,N1A,N1B,N1C,N2,N2A,P1,P1A,P2,P2A,P3,P3A,Q1,Q1A,Q1B,Q1C,Q1D,Q2,Q3,R1,R2,S1,S2,S3,S4,S5,S5A,S5B,S5C,S5D,S6,S6A,S6B,S6BB,S7,S7A,S7B,S8,S9,S10,S10A,S10B,S11,S12,S12A,S13,S13A,S14,S15,S16,S17,Q166,Q167,S18,S19,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,T1_8,T1_9,T2A,T2B,T2C,T2D,T2E,T2EE_1,T2EE_2,T2EE_3,T2EE_4,T2EE_5,T2EE_6,T2EE_7,T2EE_8,T2EE_9,T2EE_10,T2F,T2FF_1,T2FF_2,T2FF_3,T2FF_4,T2FF_5,T2FF_6,T2FF_7,T2FF_8,T2FF_9,T2FF_10,T2G,T2GG_1,T2GG_2,T2GG_3,T2GG_4,T2GG_5,T2GG_6,T2GG_7,T2GG_8,T2GG_9,T2GG_10,T3,T4,T5,T6,T7,T8,T9_1,T9_2,T9_3,T9_4,T9_5,T9A,T10,Q192,Q193,SEX,AGE,EDU,Arear,w
1010210600401,1,1,102,102106,62,1,7,4,5,19,15,1,7,7,7,99,4,92,99,3,3,99,99,99,99,99,99,99,2,2,99,92,99,99,99,99,99,99,99,99,99,99,99,2,2,99,92,99,99,99,99,99,99,99,99,99,99,99,99,99,96,97,98,98,97,3,2,97,98,2,3,3,2,3,3,1,2,98,98,1,98,98,98,1,2,101,999,99,999,2,5,99,2,5,2,2,2,91,96,99,2,99,14,33,998,99,999,99,96,10,96,96,10,96,7,98,98,98,98,5,5,5,5,5,0,0,0,0,0,10,10,10,10,10,3,96,98,98,98,98,98,2,2,1,2,96,2,3,3,97,2,2,99,99,10,5,1,1,2,2,98,98,98,3,1,3,3,2,2,1,2,23,2,2,3,1,2,2,2,2,2,4,3,1,60,9012,7,3,2,9991,9995,91,2,4,0,0,0,2,1,1,1,20,17,1,2,10,99,99,99,99,99,99,99,99,2,2,2,1,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9991,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,3,3,3,3,2,1,99,99,99,99,99,99,1043,5,1,5,1,1,.78521760826911
1010210601612,1,1,102,102106,50,1,7,1,2,16,5,1,7,7,7,99,4,92,99,4,99,99,99,99,99,99,99,99,97,2,99,10,99,99,99,99,99,99,99,99,99,99,92,4,99,99,92,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,91,91,2,3,2,3,2,4,3,2,2,2,2,4,2,5,5,2,1,2,98,1,1,214,999,99,999,1,99,2,1,5,2,2,1,2,1,2,1,1,1,998,305,1,998,99,10,5,10,10,5,5,0,5,0,5,0,10,4,10,4,10,0,10,10,10,0,10,0,10,0,10,3,3,10,0,10,0,10,1,2,4,2,2,2,3,2,2,1,99,2,1,0,10,2,1,1,2,2,1,3,1,3,3,2,3,3,1,3,56,2,2,3,2,1,2,1,2,1,4,3,1,32,9999,4,1,2,50,9012,5,2,5,0,0,0,2,1,1,1,16,55,2,4,10,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,2,4,2,4,3,1,99,99,99,99,99,99,1043,5,2,3,1,1,.993002416900551
1010300100813,1,1,103,103001,28,3,7,30,3,18,17,2,1,7,4,3,6,6,10,2,1,2,3,5,99,99,99,99,2,2,99,5,10,11,99,99,99,99,99,99,99,99,92,4,99,99,3,7,13,99,99,99,99,99,99,99,99,99,99,99,1,4,11,3,4,2,2,3,1,2,3,3,3,3,3,2,1,3,3,1,1,2,98,1,1,208,999,99,999,1,99,2,1,5,2,2,1,2,2,99,2,99,1,27,303,2,501,92,6,5,6,8,4,2,0,10,0,10,1,2,6,10,0,7,0,10,2,10,0,0,9,0,10,0,1,1,5,5,5,5,5,1,1,4,1,1,4,4,3,1,2,1,2,3,4,7,2,1,1,2,2,2,2,3,1,3,3,3,3,2,4,63,2,1,8,2,2,2,2,2,5,3,3,1,33,9999,4,1,2,1022,9999,1,6,5,3,1,0,1,7,1,1,18,45,2,1,10,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,2,5,4,3,4,3,99,99,99,99,10,2,1010,6,2,2,3,1,1.12568020511324
1010300101202,1,1,103,103001,79,3,7,30,3,15,41,2,96,7,2,4,6,6,92,2,3,99,99,99,99,99,99,99,1,1,1,1,99,99,99,99,99,99,99,99,99,99,92,1,1,1,3,9,12,13,99,99,99,99,99,99,99,99,99,99,1,3,6,12,3,3,3,3,2,2,3,3,3,3,2,1,3,4,4,2,1,1,1,1,1,312,999,99,999,1,99,2,1,5,2,2,1,2,1,3,1,2,1,42,512,1,301,1,9,3,9,8,3,3,1,10,1,9,1,3,98,2,98,2,9,7,9,3,8,1,9,2,9,5,2,1,98,98,98,98,98,1,1,2,2,2,3,3,2,2,1,99,2,2,3,8,4,1,1,2,2,1,2,3,2,2,2,3,2,2,4,40,2,2,10,1,2,2,2,1,3,4,2,1,1022,9999,1,1,2,33,9999,4,6,5,1,10,6,1,4,1,5,17,0,1,1,10,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,2,3,2,3,4,1,99,99,99,99,99,99,1040,6,1,4,4,1,.775700483973994
1010300101601,1,1,103,103001,65,3,7,24,4,10,46,5,1,7,1,3,4,6,92,2,3,99,99,99,99,99,99,99,1,2,99,10,99,99,99,99,99,99,99,99,99,99,92,4,99,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,12,91,2,2,1,2,1,3,2,3,3,3,3,1,2,5,5,1,1,1,1,1,95,999,999,99,999,1,99,2,91,91,93,99,1,91,2,99,1,1,25,992,115,92,508,1,9,2,9,5,2,3,0,10,98,98,98,9,6,6,8,9,5,3,5,3,5,0,0,0,5,6,2,2,5,98,98,98,98,1,1,6,3,2,3,4,1,4,2,1,2,3,98,98,2,1,1,2,2,1,2,3,98,2,2,3,3,2,2,28,1,1,4,2,2,2,1,2,1,3,2,1,60,1092,7,3,1,9991,9995,91,6,9,4,10,5,1,10,2,5,11,51,1,4,10,99,99,99,99,99,99,99,99,2,2,2,1,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,810,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,2,1,3,3,4,8,99,99,99,99,99,4,1040,6,1,5,1,1,.78521760826911
1010301400906,1,1,103,103014,39,3,7,5,6,18,57,2,1,2,2,2,6,6,1,3,1,5,99,99,99,99,99,99,2,2,99,92,99,99,99,99,99,99,99,99,99,99,99,4,99,99,92,99,99,99,99,99,99,99,99,99,99,99,99,99,2,3,12,1,3,3,3,3,3,2,2,3,1,2,1,2,2,5,5,2,1,1,1,1,2,314,999,99,999,1,99,92,1,5,1,1,2,2,2,99,1,2,1,992,409,2,202,2,5,5,5,5,5,5,7,7,0,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,5,5,2,7,3,3,2,3,2,3,2,3,3,3,1,99,1,2,6,5,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,66,1,1,12,1,1,2,2,2,1,2,2,1,1092,9999,1,1,2,2031,9999,1,1,5,1,3,0,2,8,1,1,19,36,1,1,10,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,2,4,3,3,4,1,99,99,99,99,99,99,1052,6,1,2,5,1,.897560123040092
1010301402301,1,1,103,103014,53,1,7,3,4,14,33,2,7,7,7,99,5,1,2,4,99,99,99,99,99,99,99,99,2,2,99,5,99,99,99,99,99,99,99,99,99,99,5,4,99,99,2,3,99,99,99,99,99,99,99,99,99,99,99,99,1,4,1,13,3,2,2,2,2,2,2,1,1,2,2,1,2,5,5,2,1,1,2,1,2,213,999,99,999,2,4,99,2,1,1,1,1,1,1,3,1,2,32,992,107,1,501,2,6,4,5,6,4,6,5,6,1,4,5,7,7,2,4,5,5,5,4,5,6,5,4,3,4,5,1,1,7,6,4,5,6,3,3,5,3,4,1,3,2,2,1,99,1,2,6,2,1,4,1,1,1,2,2,3,2,2,2,2,2,2,2,31,3,3,8,2,2,2,2,2,1,2,5,99,60,10,7,1,2,60,5032,7,1,3,0,0,0,2,1,1,1,15,26,1,1,9,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,2,6,2,3,3,1,99,99,99,99,99,99,1052,6,1,5,3,1,.828674450579788
1010301403210,1,1,103,103014,48,2,7,5,6,12,43,2,7,7,1,3,4,6,92,2,3,99,99,99,99,99,99,99,1,2,99,7,99,99,99,99,99,99,99,99,99,99,7,4,99,99,10,13,99,99,99,99,99,99,99,99,99,99,99,99,1,2,6,13,3,2,2,3,2,3,3,3,3,3,3,2,2,4,5,1,1,1,1,1,1,114,999,99,999,1,99,2,1,5,2,2,2,2,1,2,1,1,21,992,998,99,999,99,7,0,10,10,0,0,0,6,0,10,0,5,10,5,10,5,7,98,10,5,8,6,10,0,10,0,2,2,4,98,0,98,0,2,2,4,2,2,4,4,2,2,1,99,2,1,0,7,2,1,1,2,2,1,2,98,2,2,3,4,3,96,3,42,2,2,6,1,2,2,2,2,4,4,9,99,5012,9999,1,1,2,50,7032,5,6,5,0,0,0,2,3,2,1,13,31,2,1,3,99,99,99,99,99,99,99,99,2,2,2,1,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,1515,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,2,3,3,3,3,3,99,99,99,99,20,1,1052,6,2,4,2,1,1.02126961424478
1010301403416,1,1,103,103014,41,1,7,5,6,14,36,1,7,1,2,4,8,1,7,3,3,1,99,99,99,99,99,99,2,2,99,1,5,99,99,99,99,99,99,99,99,99,1,4,99,99,2,3,99,99,99,99,99,99,99,99,99,99,99,99,1,3,12,3,3,3,2,3,2,3,3,3,1,2,2,4,3,4,5,2,1,98,2,1,2,108,999,99,999,2,4,99,92,92,1,94,2,92,2,99,2,99,1,5,104,92,501,2,5,8,2,5,8,8,5,5,5,5,5,8,8,6,8,5,5,8,8,8,5,5,5,7,5,7,3,3,5,5,5,5,5,2,3,3,2,3,3,3,3,2,1,99,1,2,8,3,1,1,2,2,1,2,3,3,1,1,1,2,2,2,3,75,2,2,8,2,2,2,2,2,1,3,2,1,4022,9999,1,6,99,9999,9999,99,1,5,0,1,0,2,10,2,3,15,17,2,1,10,99,99,99,99,99,99,99,99,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,2,5,3,4,3,1,99,99,99,99,99,99,1052,6,2,1,3,1,1.29471586451324
1010301403508,1,1,103,103014,37,1,7,5,6,13,54,1,7,7,7,99,6,6,1,3,1,3,99,99,99,99,99,99,3,2,99,92,99,99,99,99,99,99,99,99,99,99,99,4,99,99,92,99,99,99,99,99,99,99,99,99,99,99,99,99,3,4,12,11,3,2,2,3,98,3,3,2,1,2,2,2,3,4,5,2,98,98,98,1,2,108,999,99,999,1,99,92,92,92,93,99,2,92,1,1,2,99,31,992,201,2,501,2,5,7,5,5,7,5,7,8,8,7,0,10,7,5,5,5,5,5,5,5,5,3,5,8,5,8,1,1,2,2,8,4,7,1,4,3,3,3,3,3,3,3,1,99,1,3,7,2,1,1,2,1,1,2,3,3,1,3,3,1,2,2,3,76,2,2,8,2,1,2,2,2,1,3,2,1,10,9999,1,6,99,9999,9999,99,2,6,1,0,0,2,4,1,1,14,31,1,1,10,99,99,99,99,99,99,99,99,2,2,2,2,1,1070,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,3,5,4,4,2,4,99,99,99,99,99,2,1052,6,1,1,3,1,1.26504698888493
